bands,policy,total_pnl,pct_oracle,uplift_vs_naive,worst_day_vs_naive,days_lost,n_days
uncalibrated,greedy_p50,285240.06999999995,97.2126758257032,44754.96749999994,-170.3099999999995,9,41
uncalibrated,p10p90,285318.54250000004,97.23942004051054,44833.44000000003,-398.77999999999975,7,41
uncalibrated,robust_p90p10,276943.99250000005,94.38528943278722,36458.89000000004,-3046.4949999999994,14,41
uncalibrated,width_penalty,284910.2,97.10025282224993,44425.0975,-202.91250000000036,9,41
uncalibrated,skip_wide_slots,171677.71999999997,58.50948830876336,-68807.38250000004,-11293.535000000003,32,41
marginal,greedy_p50,285240.06999999995,97.2126758257032,44754.96749999994,-170.3099999999995,9,41
marginal,p10p90,285318.54250000004,97.23942004051054,44833.44000000003,-398.77999999999975,7,41
marginal,robust_p90p10,276943.99250000005,94.38528943278722,36458.89000000004,-3046.4949999999994,14,41
marginal,width_penalty,284910.2,97.10025282224993,44425.0975,-202.91250000000036,9,41
marginal,skip_wide_slots,171677.71999999997,58.50948830876336,-68807.38250000004,-11293.535000000003,32,41
adaptive,greedy_p50,285240.06999999995,97.2126758257032,44754.96749999994,-170.3099999999995,9,41
adaptive,p10p90,284156.8950000001,96.84351892521059,43671.79250000007,-671.2974999999997,9,41
adaptive,robust_p90p10,263991.775,89.97104384291794,23506.672500000015,-4788.030000000001,17,41
adaptive,width_penalty,284340.1975,96.90599025509961,43855.095,-282.5849999999991,9,41
adaptive,skip_wide_slots,171677.71999999997,58.50948830876336,-68807.38250000004,-11293.535000000003,32,41
